seed,main_train_time_s,main_raw_crossings_before_correction,main_crossings_after_correction_before_reorder,main_crossings_final,main_pinball_0.05,main_pinball_0.5,main_pinball_0.95,main_coverage,main_calibration_error,main_width,mcdropout_train_time_s,mcdropout_crossings_raw,mcdropout_pinball_0.05,mcdropout_pinball_0.5,mcdropout_pinball_0.95,mcdropout_coverage,mcdropout_calibration_error,mcdropout_width,deepensemble_train_time_s,deepensemble_crossings_raw,deepensemble_pinball_0.05,deepensemble_pinball_0.5,deepensemble_pinball_0.95,deepensemble_coverage,deepensemble_calibration_error,deepensemble_width
0,114.93961000442505,0,2,0,14.78226407830872,57.57791542064616,15.47578756199358,0.8687904430064709,0.03120955699352912,428.98710939242847,44.085205078125,0,20.21595198802654,70.83964648097235,26.465553403240126,0.8839223494275759,0.016077650572424163,689.3714,395.8198685646057,0,14.285000524981333,54.62058824887615,14.835717882808623,0.89198606271777,0.008013937282229988,440.89944
1,97.67902636528015,14,0,0,15.32054801293682,59.484234433817356,16.79309862889269,0.8609258337481334,0.03907416625186666,457.8204652792895,31.221996068954468,0,20.92680636962769,77.0789195203615,26.105515509795776,0.8660029865604778,0.03399701343952222,672.1266,316.2293186187744,0,15.021402445100563,53.110071621064584,14.75181790949517,0.8909905425584869,0.009009457441513158,449.45306
2,151.97340941429138,0,0,0,15.577559837225314,56.12874589979856,15.399883296543843,0.8500746640119462,0.04992533598805382,426.51884833678145,53.39987826347351,0,20.145019025712422,68.04403064627147,25.795186803427562,0.891687406669985,0.008312593330014995,677.9816,458.36521315574646,0,15.546415767717148,52.50735425934856,14.194720921381142,0.8871080139372822,0.012891986062717797,443.3347
3,147.6454131603241,0,1,0,15.678725795409825,54.311834962881875,14.543292834441125,0.8773519163763066,0.022648083623693416,443.52545678410445,51.49757623672485,0,22.338497629806493,68.78589501539945,26.8637257682227,0.8847187655550025,0.015281234444997516,707.3825,442.5546157360077,0,15.163483721446847,55.78480248306449,14.79782184515385,0.8974614235938277,0.002538576406172277,461.55728
4,149.2068235874176,0,0,0,15.380143468747123,56.708021216537304,15.726382957455053,0.8600298656047785,0.03997013439522157,434.50025799429926,51.40489912033081,0,22.263721101721938,67.5948174620458,25.137207595118852,0.90801393728223,0.008013937282229988,725.7654,351.86872243881226,0,14.886290326343952,53.54597542260997,14.16555366694602,0.9059233449477352,0.005923344947735165,461.47272
